Incident_DateTime,Borough,Battalion,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
09/06/2020 02:10:31 PM,Queens,54,PD Residential Structure,Microwave,Appliances
09/06/2020 07:21:02 PM,Staten Island,21,PD Residential Structure,Electrical Wiring,Electrical
09/06/2020 09:51:18 PM,Queens,50,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
09/07/2020 02:05:35 AM,Staten Island,23,PD Residential Structure,Food on the Stove,Cooking Carelessness
09/07/2020 10:01:03 AM,Brooklyn,40,PD Residential Structure,Electrical Wiring,Electrical
09/07/2020 04:25:12 PM,Bronx,03,Commercial Structure,Smoking (Cigarette/Cigar),Smoking
09/07/2020 04:38:00 PM,Bronx,03,Vehicle,Vehicle Wiring,Electrical
09/07/2020 11:17:02 PM,Staten Island,21,PD Residential Structure,Electrical Wiring,Electrical
09/08/2020 02:05:03 AM,Staten Island,22,PD Residential Structure,Electrical Wiring,Electrical
09/08/2020 04:06:12 AM,Manhattan,08,MD Residential Structure,Electrical Wiring,Electrical
09/08/2020 05:18:50 AM,Staten Island,21,PD Residential Structure,Incendiary,Incendiary
09/08/2020 09:05:51 AM,Brooklyn,38,MD Residential Structure,Electrical Wiring,Electrical
09/08/2020 09:58:15 AM,Brooklyn,33,PD Residential Structure,Electrical Wiring,Electrical
09/08/2020 04:34:03 PM,Brooklyn,37,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
09/08/2020 06:55:50 PM,Manhattan,11,MD Residential Structure,Other - Electrical,Electrical
09/08/2020 09:00:00 PM,Queens,47,MD Residential Structure,Incendiary,Incendiary
09/09/2020 04:00:00 AM,Queens,49,Outside Rubbish,Incendiary,Incendiary
09/09/2020 04:30:44 AM,Queens,46,Vehicle,Vehicle Wiring,Electrical
09/09/2020 05:00:00 AM,Bronx,27,Outside Rubbish,Incendiary,Incendiary
09/09/2020 06:03:07 AM,Bronx,14,MD Residential Structure,Incendiary,Incendiary
09/09/2020 06:56:00 AM,Queens,50,MFA,MFA,No Fire
11/19/2020 05:57:25 AM,Staten Island,21,Vehicle,Incendiary,Incendiary
09/09/2020 12:49:33 PM,Queens,54,Garage/Shed,Other - Hot Objects,Hot Objects
09/09/2020 05:42:00 PM,Brooklyn,31,Commercial Structure,Electrical Wiring,Electrical
09/09/2020 07:31:50 PM,Bronx,17,PD Residential Structure,Hot Embers,Hot Objects
09/10/2020 01:27:56 AM,Manhattan,07,MD Residential Structure,Electrical Wiring,Electrical
09/10/2020 09:07:40 AM,Queens,49,MD Residential Structure,Other,Other
09/10/2020 09:40:39 AM,Queens,51,Transformer,Preliminary Investigation Only,Other
09/10/2020 05:33:10 PM,Queens,46,PD Residential Structure,Food on the Stove,Cooking Carelessness
09/11/2020 12:01:02 AM,Bronx,19,MD Residential Structure,Incendiary,Incendiary
09/11/2020 07:00:00 AM,Brooklyn,32,Other,Smoking (Cigarette/Cigar),Smoking
09/11/2020 09:04:46 AM,Brooklyn,58,Commercial Structure,Stove/Cooking - Fryer,Cooking Carelessness
09/11/2020 09:41:26 AM,Staten Island,21,MD Residential Structure,Hard Wire Outlet,Electrical
09/11/2020 09:49:29 AM,Brooklyn,41,PD Residential Structure,Electrical Wiring,Electrical
09/11/2020 12:23:00 PM,Brooklyn,31,No Fire,Other,Other
09/11/2020 12:33:43 PM,Queens,47,MD Residential Structure,Other - Hot Objects,Hot Objects
09/11/2020 07:29:25 PM,Queens,51,Vehicle,Not Ascertained,Other
09/11/2020 08:13:04 PM,Brooklyn,43,Garage/Shed,Stove/Cooking - Other,Cooking Carelessness
09/11/2020 08:36:31 PM,Manhattan,16,MD Residential Structure,Electrical Wiring,Electrical
09/11/2020 09:07:24 PM,Queens,49,MD Residential Structure,Other - Electrical,Electrical
09/11/2020 09:55:29 PM,Bronx,15,MD Residential Structure,Candle,Open Flame
09/11/2020 10:47:17 PM,Brooklyn,38,MD Residential Structure,Other Appliance,Appliances
09/12/2020 02:04:35 AM,Bronx,14,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
09/12/2020 05:30:02 AM,Bronx,15,MD Residential Structure,Incendiary - Combustible Material,Incendiary
09/12/2020 06:53:39 AM,Queens,51,Vehicle,Electrical Wiring,Electrical
09/12/2020 08:00:01 AM,Queens,52,PD Residential Structure,Electrical Wiring,Electrical
09/12/2020 08:47:23 AM,Queens,46,Vehicle,Preliminary Investigation Only,Other
09/12/2020 11:19:58 AM,Brooklyn,58,PD Residential Structure,Electrical Wiring,Electrical
09/12/2020 12:18:06 PM,Brooklyn,31,MD Residential Structure,Incendiary - Ignitable Liquid,Incendiary
09/12/2020 01:26:06 PM,Queens,46,Hospital,Incendiary,Incendiary
09/12/2020 03:03:50 PM,Manhattan,09,MD Residential Structure,Electrical Wiring,Electrical
09/12/2020 04:00:00 PM,Brooklyn,33,No Fire,Other - No Fire,No Fire
09/12/2020 06:39:18 PM,Brooklyn,39,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
09/12/2020 10:06:32 PM,Manhattan,08,MD Residential Structure,Heat from Light Bulb,Hot Objects
09/12/2020 11:46:52 PM,Brooklyn,42,PD Residential Structure,Hard Wire Outlet,Electrical
09/13/2020 12:39:24 AM,Brooklyn,33,Vehicle,Incendiary,Incendiary
09/13/2020 07:45:43 AM,Staten Island,22,PD Residential Structure,Spontaneous Combustion,Natural Sources
09/13/2020 03:07:10 PM,Brooklyn,39,Vehicle,Preliminary Investigation Only,Other
09/13/2020 07:03:07 PM,Manhattan,10,MD Residential Structure,Stove/Cooking - Other,Cooking Carelessness
09/13/2020 07:05:30 PM,Brooklyn,38,MD Residential Structure,Candle,Open Flame
09/13/2020 09:56:00 PM,Bronx,15,MFA,MFA,No Fire
09/14/2020 08:50:36 AM,Manhattan,16,MD Residential Structure,Incendiary,Incendiary
09/14/2020 10:06:00 AM,Bronx,15,MFA,MFA,No Fire
09/14/2020 10:50:28 AM,Brooklyn,35,Manhole,Preliminary Investigation Only,Other
09/14/2020 01:33:24 PM,Queens,50,PD Residential Structure,Incendiary,Incendiary
09/14/2020 04:07:19 PM,Manhattan,08,Vehicle,Motors - Fossil Fuel Powered,Motors
09/14/2020 05:16:34 PM,Queens,54,PD Residential Structure,Stove/Cooking - Stove,Cooking Carelessness
09/14/2020 05:45:19 PM,Brooklyn,33,Burn Notification,Cooking Fire Extending to Clothing or Combustibles,Cooking Carelessness
09/14/2020 05:54:42 PM,Brooklyn,40,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
09/14/2020 07:04:07 PM,Manhattan,01,MD Residential Structure,Incendiary,Incendiary
09/14/2020 08:30:11 PM,Brooklyn,58,PD Residential Structure,Torch - Legal Use of,Open Flame
09/14/2020 09:53:07 PM,Staten Island,23,PD Residential Structure,Preliminary Investigation Only,Other
09/14/2020 09:54:03 PM,Manhattan,07,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
09/14/2020 11:11:51 PM,Queens,50,MD Residential Structure,Incendiary,Incendiary
09/15/2020 12:45:54 AM,Queens,54,PD Residential Structure,Spontaneous Combustion,Natural Sources
09/15/2020 01:11:00 AM,Brooklyn,44,Vehicle,Incendiary,Incendiary
09/15/2020 04:41:56 AM,Queens,47,MD Residential Structure,Incendiary,Incendiary
09/15/2020 10:33:25 AM,Bronx,20,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
09/15/2020 12:30:19 PM,Brooklyn,58,Vehicle,Other - Hot Objects,Hot Objects
09/15/2020 01:53:10 PM,Queens,49,PD Residential Structure,Incendiary - Reckless Use of Open Flame,Incendiary
09/15/2020 06:16:55 PM,Queens,49,MD Residential Structure,Incendiary,Incendiary
09/15/2020 09:52:25 PM,Brooklyn,44,MD Residential Structure,Candle,Open Flame
09/16/2020 01:45:36 AM,Brooklyn,35,Vehicle,Incendiary - Ignitable Liquid,Incendiary
09/16/2020 02:34:26 AM,Bronx,19,Brush,Incendiary,Incendiary
09/16/2020 03:12:33 AM,Brooklyn,58,PD Residential Structure,Electrical Wiring,Electrical
09/16/2020 11:06:36 AM,Brooklyn,39,Boat,Incendiary,Incendiary
09/16/2020 02:00:37 PM,Brooklyn,33,Group Home,Electrical Wiring,Electrical
09/16/2020 05:07:45 PM,Queens,49,MD Residential Structure,Cable/Satellite Equipment,Electrical Devices
09/16/2020 07:47:00 PM,Bronx,15,MFA,MFA,No Fire
09/16/2020 09:24:09 PM,Brooklyn,38,Burn Notification,Incendiary - Ignitable Liquid,Incendiary
09/16/2020 10:14:55 PM,Bronx,15,Outside Rubbish,Incendiary,Incendiary
09/17/2020 12:15:45 AM,Manhattan,04,Commercial Structure,Electrical Wiring,Electrical
09/17/2020 12:43:47 AM,Brooklyn,37,MD Residential Structure,Candle,Open Flame
09/17/2020 12:51:04 AM,Brooklyn,57,Other,Other - No Fire,No Fire
09/17/2020 03:33:33 AM,Queens,46,MD Residential Structure,Extension Cord,Electrical
09/17/2020 10:22:00 AM,Bronx,14,Other,Other - No Fire,No Fire
09/17/2020 11:16:32 AM,Bronx,14,MD Residential Structure,Incendiary - Combustible Material,Incendiary
09/17/2020 12:36:57 PM,Bronx,18,Brush,Other - Hot Objects,Hot Objects
09/17/2020 01:23:12 PM,Bronx,03,PD Residential Structure,Electrical Wiring,Electrical
09/17/2020 05:55:48 PM,Brooklyn,57,MD Residential Structure,Electrical Wiring,Electrical
