Case_Year,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2020,11/29/2020 05:57:00 AM,Brooklyn,58,18,069,MD Residential Structure,Other - No Fire,No Fire
2020,11/29/2020 10:44:00 AM,Bronx,15,11,049,MD Residential Structure,Incendiary,Incendiary
2020,11/29/2020 11:33:34 AM,Brooklyn,40,10,068,MD Residential Structure,Electrical Wiring,Electrical
2020,11/29/2020 12:15:20 PM,Brooklyn,57,01,090,MD Residential Structure,Heat From Molten Metal / Slag,Hot Objects
2020,11/29/2020 12:26:29 PM,Queens,49,01,114,Vehicle,Preliminary Investigation Only,Other
2020,11/29/2020 12:39:50 PM,Brooklyn,48,14,070,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2020,11/29/2020 01:35:55 PM,Manhattan,10,11,023,MD Residential Structure,Incendiary,Incendiary
2020,11/29/2020 02:08:26 PM,Brooklyn,41,09,071,MD Residential Structure,Power Strip,Electrical
2020,11/29/2020 05:59:21 PM,Brooklyn,,07,072,Vehicle,Not Ascertained,Other
2020,11/29/2020 07:19:57 PM,Brooklyn,37,03,081,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2020,11/29/2020 09:30:00 PM,Bronx,17,04,044,Vehicle,SIU Investigation,Other
2020,11/29/2020 09:37:12 PM,Bronx,19,05,046,MD Residential Structure,Other,Other
2020,11/29/2020 09:47:00 PM,Bronx,17,04,044,Other,Incendiary,Incendiary
2020,11/30/2020 12:22:19 AM,Bronx,,11,049,Outside Rubbish,Incendiary,Incendiary
2020,11/30/2020 12:57:12 AM,Queens,47,14,101,PD Residential Structure,Electrical Wiring,Electrical
2020,11/30/2020 02:31:00 AM,Manhattan,09,07,020,Outside Rubbish,Incendiary,Incendiary
2020,11/30/2020 06:52:38 AM,Manhattan,16,09,030,MD Residential Structure,Extension Cord,Electrical
2020,11/30/2020 11:14:42 AM,Bronx,18,03,042,MD Residential Structure,Electrical Wiring,Electrical
