Case_Year,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2017,01/14/2017 01:58:47 AM,Brooklyn,35,01,090,Commercial Structure,Candle,Open Flame
2017,01/14/2017 08:47:22 AM,Manhattan,10,08,019,Vehicle,Spontaneous Combustion,Natural Sources
2017,01/14/2017 11:20:00 AM,Staten Island,21,01,120,MD Residential Structure,Incendiary,Incendiary
2017,01/14/2017 11:33:03 AM,Brooklyn,43,13,060,MFA,Incendiary,Incendiary
2017,01/14/2017 11:42:00 AM,Manhattan,01,02,006,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/14/2017 01:05:00 PM,Manhattan,07,05,014,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/14/2017 01:44:00 PM,Queens,46,05,104,PD Residential Structure,Torch - Legal Use of,Open Flame
2017,01/14/2017 02:16:36 PM,Manhattan,10,11,023,Public Hallway,Incendiary,Incendiary
2017,01/14/2017 03:11:38 PM,Queens,49,03,115,PD Residential Structure,Electrical Wiring,Electrical
2017,01/14/2017 04:46:00 PM,Manhattan,11,09,026,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/14/2017 05:11:47 PM,Brooklyn,40,10,068,Commercial Structure,Electrical Wiring,Electrical
2017,01/14/2017 06:22:25 PM,Bronx,20,10,045,Burn Notification,Albany Burn Notif. Related to a Previous BFI Inv.,Other
2017,01/14/2017 06:22:25 PM,Bronx,20,10,045,MD Residential Structure,Cooking Fire Extending to Clothing or Combustibles,Cooking Carelessness
2017,01/14/2017 06:45:28 PM,Bronx,18,10,045,MD Residential Structure,Electrical Wiring,Electrical
2017,01/14/2017 07:01:00 PM,Manhattan,11,09,026,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/14/2017 10:25:00 PM,Manhattan,04,03,009,Commercial Structure,Heat from Light Bulb,Hot Objects
2017,01/14/2017 11:38:00 PM,Manhattan,12,10,028,MD Residential Structure,Incendiary,Incendiary
2017,01/15/2017 04:40:28 AM,Manhattan,13,12,033,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2017,01/15/2017 04:55:00 AM,Manhattan,16,09,030,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/15/2017 08:31:31 AM,Brooklyn,41,17,067,MD Residential Structure,Food on the Stove,Cooking Carelessness
2017,01/15/2017 10:42:00 AM,Bronx,26,02,041,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/15/2017 12:26:00 PM,Bronx,27,07,052,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/15/2017 05:10:00 PM,Manhattan,16,10,032,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/15/2017 05:33:22 PM,Manhattan,07,04,010,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/15/2017 07:38:31 PM,Bronx,15,12,047,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2017,01/15/2017 08:12:41 PM,Brooklyn,31,02,088,Vehicle,Smoking (Cigarette/Cigar),Smoking
2017,01/15/2017 08:14:30 PM,Queens,50,08,107,MD Residential Structure,Candle,Open Flame
2017,01/15/2017 08:25:00 PM,Brooklyn,48,06,078,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/15/2017 08:47:39 PM,Queens,50,12,103,MD Residential Structure,Clothes Dryer - Natural Gas,Appliances
2017,01/15/2017 09:15:30 PM,Brooklyn,40,07,072,Commercial Structure,Clothes Dryer,Appliances
2017,01/15/2017 09:28:00 PM,Bronx,26,02,041,Burn Notification,Albany Burn Notif. / Pending Investigation,Other
2017,01/15/2017 11:51:16 PM,Manhattan,04,03,007,Burn Notification (Albany),Albany Burn Notif. Related to a Previous BFI Inv.,Other
2017,01/15/2017 11:51:16 PM,Manhattan,04,03,007,MD Residential Structure,Electrical Wiring,Electrical
2017,01/16/2017 12:54:22 AM,Brooklyn,37,01,090,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2017,01/16/2017 03:39:45 AM,Queens,45,02,108,Vehicle,Incendiary - Combustible Material,Incendiary
2017,01/16/2017 06:05:20 AM,Bronx,18,06,048,MD Residential Structure,Extension Cord,Electrical
2017,01/16/2017 08:30:29 AM,Manhattan,10,11,023,MD Residential Structure,Electrical Wiring,Electrical
2017,01/16/2017 10:22:15 AM,Brooklyn,33,15,061,MD Residential Structure,Electrical Wiring,Electrical
2017,01/16/2017 10:29:29 AM,Manhattan,11,07,020,MD Residential Structure,Heat from Light Bulb,Hot Objects
2017,01/16/2017 11:35:57 AM,Brooklyn,31,02,084,Commercial Structure,Stove/Cooking - Stove,Cooking Carelessness
2017,01/16/2017 11:51:42 AM,Brooklyn,41,17,067,MD Residential Structure,Stove/Cooking - Stove,Cooking Carelessness
2017,01/16/2017 02:52:00 PM,Brooklyn,40,10,068,MD Residential Structure,Solar Rays,Natural Sources
2017,01/16/2017 03:17:00 PM,Bronx,26,03,042,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/16/2017 06:00:00 PM,Brooklyn,38,09,071,Other,Juvenile Firesetter Intervention,Other
2017,01/16/2017 06:14:00 PM,Brooklyn,32,02,084,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/16/2017 06:31:00 PM,Manhattan,12,10,028,MD Residential Structure,Other - Open Flame,Open Flame
2017,01/16/2017 07:57:00 PM,Bronx,26,01,040,MFA,MFA,No Fire
2017,01/16/2017 08:56:00 PM,Bronx,19,07,046,Outside Rubbish,Matches/Lighter,Open Flame
2017,01/16/2017 09:32:00 PM,Manhattan,11,07,024,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2017,01/16/2017 10:40:00 PM,Brooklyn,43,13,060,MD Residential Structure,Child Playing w/Matches/Lighter,Open Flame
2017,01/16/2017 11:55:38 PM,Brooklyn,43,13,060,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2017,01/17/2017 12:13:00 AM,Brooklyn,44,16,073,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/17/2017 01:54:21 AM,Bronx,20,11,049,MD Residential Structure,Extension Cord,Electrical
2017,01/17/2017 02:00:00 AM,Queens,46,05,104,No Fire,Other - No Fire,No Fire
2017,01/17/2017 02:23:00 AM,Staten Island,23,03,123,Vehicle,Incendiary - Ignitable Liquid,Incendiary
2017,01/17/2017 03:04:00 AM,Bronx,26,03,042,,Preliminary Investigation Only,Other
2017,01/17/2017 03:16:50 AM,Brooklyn,31,06,078,MD Residential Structure,Spontaneous Combustion,Natural Sources
2017,01/17/2017 03:21:00 AM,Bronx,14,01,040,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/17/2017 04:02:00 AM,Manhattan,12,11,023,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2017,01/17/2017 08:57:53 AM,Brooklyn,33,15,061,PD Residential Structure,Incendiary,Incendiary
2017,01/17/2017 02:35:30 PM,Manhattan,12,11,025,MD Residential Structure,Incendiary,Incendiary
2017,01/17/2017 06:00:00 PM,Manhattan,08,06,013,Other,Juvenile Firesetter Intervention,Other
2017,01/17/2017 07:10:00 PM,Staten Island,23,03,123,PD Residential Structure,Preliminary Investigation Only,Other
2017,01/17/2017 07:48:06 PM,Brooklyn,57,03,079,No Fire,Other - No Fire,No Fire
2017,01/17/2017 08:03:00 PM,Brooklyn,33,12,066,PD Residential Structure,Preliminary Investigation Only,Other
2017,01/17/2017 10:50:00 PM,Brooklyn,33,14,070,PD Residential Structure,Preliminary Investigation Only,Other
2017,01/18/2017 02:21:35 AM,Staten Island,22,02,121,Vehicle,Incendiary,Incendiary
2017,01/18/2017 09:59:23 AM,Staten Island,22,01,120,Burn Notification,Albany Burn Notif. Related to a Previous BFI Inv.,Other
2017,01/18/2017 09:59:23 AM,Staten Island,22,01,120,MD Residential Structure,Matches/Lighter,Open Flame
2017,01/18/2017 10:12:00 AM,Bronx,26,03,042,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/18/2017 10:42:00 AM,Brooklyn,57,03,079,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/18/2017 03:02:00 PM,Queens,52,07,109,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/18/2017 03:29:44 PM,Queens,50,08,107,PD Residential Structure,Electrical Wiring,Electrical
2017,01/18/2017 03:56:00 PM,Brooklyn,35,01,090,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/18/2017 04:00:00 PM,Queens,50,12,113,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/18/2017 06:00:00 PM,Manhattan,08,06,013,Other,Juvenile Firesetter Intervention,Other
2017,01/18/2017 06:30:38 PM,Queens,50,08,107,MD Residential Structure,Incendiary,Incendiary
2017,01/18/2017 06:59:19 PM,Brooklyn,40,10,068,Vehicle,Incendiary - Combustible Material,Incendiary
2017,01/18/2017 07:11:00 PM,Bronx,17,04,044,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/18/2017 07:37:00 PM,Brooklyn,39,05,075,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/18/2017 07:50:29 PM,Queens,52,07,109,Vehicle,Electrical Wiring,Electrical
2017,01/18/2017 08:38:00 PM,Manhattan,06,06,013,MFA,MFA,No Fire
2017,01/18/2017 09:49:53 PM,Manhattan,12,11,025,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/18/2017 11:38:00 PM,Brooklyn,38,09,071,MD Residential Structure,Electrical Wiring,Electrical
2017,01/19/2017 12:26:00 AM,Brooklyn,43,01,010,MD Residential Structure,Incense,Hot Objects
2017,01/19/2017 12:55:09 AM,Brooklyn,40,12,066,MD Residential Structure,Other - Electrical,Electrical
2017,01/19/2017 01:35:00 AM,Manhattan,09,04,018,MD Residential Structure,Incense,Hot Objects
2017,01/19/2017 02:55:00 AM,Queens,50,12,103,Commercial Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/19/2017 05:07:00 AM,Brooklyn,31,01,088,PD Residential Structure,Incendiary - Combustible Material,Incendiary
2017,01/19/2017 07:10:00 AM,Manhattan,09,04,018,MD Residential Structure,Incendiary,Incendiary
2017,01/19/2017 07:13:00 AM,Brooklyn,44,16,073,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/19/2017 08:09:00 AM,Staten Island,06,01,120,PD Residential Structure,Preliminary Investigation Only,Other
2017,01/19/2017 01:46:00 PM,Queens,47,14,101,School,Preliminary Investigation Only,Other
2017,01/19/2017 02:21:00 PM,Queens,09,02,108,PD Residential Structure,Preliminary Investigation Only,Other
2017,01/19/2017 03:47:04 PM,Queens,54,12,113,PD Residential Structure,Incense,Hot Objects
2017,01/19/2017 04:16:57 PM,Queens,54,12,103,PD Residential Structure,Torch - Legal Use of,Open Flame
2017,01/19/2017 06:00:00 PM,Manhattan,,04,044,Other,Juvenile Firesetter Intervention,Other
2017,01/19/2017 06:14:19 PM,Bronx,26,01,040,MD Residential Structure,Incendiary,Incendiary
2017,01/19/2017 08:01:00 PM,Bronx,14,01,040,MD Residential Structure,Incendiary,Incendiary
2017,01/20/2017 12:51:00 AM,Brooklyn,42,10,068,MD Residential Structure,Incendiary,Incendiary
2017,01/20/2017 02:36:00 AM,Queens,45,02,108,Transit,Incendiary - Combustible Material,Incendiary
2017,01/20/2017 02:36:00 AM,Queens,45,02,108,Burn Notification,Albany Burn Notif. Related to a Previous BFI Inv.,Other
2017,01/20/2017 03:38:00 AM,Manhattan,13,12,034,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/20/2017 04:09:30 AM,Staten Island,22,01,121,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/20/2017 04:32:00 AM,Brooklyn,28,04,083,Vehicle,Incendiary - Combustible Material,Incendiary
2017,01/20/2017 07:52:51 AM,Bronx,19,07,052,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/20/2017 09:06:00 AM,Brooklyn,44,16,073,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/20/2017 11:14:00 AM,Manhattan,08,05,013,Outside Rubbish,Incendiary,Incendiary
2017,01/20/2017 02:00:00 PM,Brooklyn,57,03,079,PD Residential Structure,Preliminary Investigation Only,Other
2017,01/20/2017 02:13:00 PM,Manhattan,10,08,019,Public Structure,Preliminary Investigation Only,Other
2017,01/20/2017 02:47:01 PM,Bronx,17,04,044,MD Residential Structure,Hard Wire Outlet,Electrical
2017,01/20/2017 04:06:00 PM,Brooklyn,37,03,081,Public Hallway,Incendiary - Combustible Material,Incendiary
2017,01/20/2017 04:16:15 PM,Manhattan,06,03,009,MFA,MFA,No Fire
2017,01/20/2017 04:35:00 PM,Staten Island,21,01,120,MD Residential Structure,Other - Ignitable Liquid/Gas,Ignitable
2017,01/20/2017 04:47:54 PM,Brooklyn,42,11,062,MD Residential Structure,Other - Hot Objects,Hot Objects
2017,01/20/2017 06:59:00 PM,Staten Island,23,03,123,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/20/2017 08:30:00 PM,Manhattan,01,01,001,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/20/2017 09:46:00 PM,Brooklyn,33,15,061,MFA,MFA,No Fire
2017,01/20/2017 11:04:14 PM,Queens,51,12,113,PD Residential Structure,Extension Cord,Electrical
2017,01/21/2017 02:08:12 AM,Queens,46,06,112,MD Residential Structure,Incendiary,Incendiary
2017,01/21/2017 06:37:00 AM,Bronx,15,12,047,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/21/2017 06:54:05 AM,Brooklyn,45,01,094,Outside Rubbish,Incendiary,Incendiary
2017,01/21/2017 08:00:00 AM,Brooklyn,38,08,077,Other,Fireplace,Open Flame
2017,01/21/2017 09:25:40 AM,Bronx,26,01,040,MD Residential Structure,Child Playing w/Matches/Lighter,Open Flame
2017,01/21/2017 09:54:42 AM,Staten Island,,03,123,Commercial Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/21/2017 12:13:16 PM,Queens,,07,109,PD Residential Structure,Candle,Open Flame
2017,01/21/2017 01:03:00 PM,Queens,53,13,105,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/21/2017 08:43:23 PM,Brooklyn,33,18,063,Burn Notification,Albany Burn Notif. Related to a Previous BFI Inv.,Other
2017,01/21/2017 08:43:23 PM,Brooklyn,33,18,063,MD Residential Structure,Stove/Cooking - Other,Cooking Carelessness
2017,01/21/2017 11:01:00 PM,Brooklyn,48,07,072,MD Residential Structure,Other - Hot Objects,Hot Objects
2017,01/22/2017 09:32:07 AM,Brooklyn,28,04,083,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/22/2017 09:37:00 AM,Manhattan,04,03,009,MD Residential Structure,Incendiary,Incendiary
2017,01/22/2017 10:24:00 AM,Queens,53,07,109,PD Residential Structure,Preliminary Investigation Only,Other
2017,01/22/2017 10:38:00 AM,Bronx,15,12,047,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/22/2017 11:22:00 AM,Brooklyn,20,,047,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/22/2017 01:56:00 PM,Manhattan,11,07,020,Other,Other - Open Flame,Open Flame
2017,01/22/2017 06:24:00 PM,Manhattan,09,05,018,Religious Structure,Incense,Hot Objects
2017,01/22/2017 06:41:00 PM,Bronx,03,09,043,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
2017,01/22/2017 07:05:00 PM,Bronx,03,09,043,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/22/2017 07:22:45 PM,Bronx,19,07,052,MD Residential Structure,Incendiary,Incendiary
2017,01/22/2017 07:36:29 PM,Brooklyn,41,14,070,MD Residential Structure,Other - Hot Objects,Hot Objects
2017,01/23/2017 12:30:00 AM,Manhattan,07,04,010,MD Residential Structure,Heaters - Other,Heaters
2017,01/23/2017 06:00:00 AM,Brooklyn,37,03,081,MD Residential Structure,Incendiary,Incendiary
2017,01/23/2017 08:24:00 AM,Manhattan,04,03,009,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/23/2017 11:38:00 AM,Bronx,14,01,042,MD Residential Structure,Stove/Cooking - Other,Cooking Carelessness
2017,01/23/2017 12:03:00 PM,Manhattan,04,03,007,MD Residential Structure,Incendiary - Reckless Use of Open Flame,Incendiary
2017,01/23/2017 12:11:00 PM,Bronx,19,05,046,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/23/2017 01:00:00 PM,Brooklyn,31,02,084,Other,Other - No Fire,No Fire
2017,01/23/2017 01:18:00 PM,Queens,52,07,109,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/23/2017 02:40:00 PM,Bronx,18,06,048,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/23/2017 03:11:00 PM,Bronx,03,09,043,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/23/2017 03:40:17 PM,Queens,50,12,103,MD Residential Structure,Extension Cord,Electrical
2017,01/23/2017 04:26:15 PM,Manhattan,13,12,034,MD Residential Structure,Electrical Wiring,Electrical
2017,01/23/2017 05:18:00 PM,Brooklyn,37,04,083,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/23/2017 06:00:00 PM,Bronx,15,12,047,Other,Juvenile Firesetter Intervention,Other
2017,01/23/2017 06:59:07 PM,Manhattan,08,06,017,MD Residential Structure,Stove  - Natural Gas,Appliances
2017,01/23/2017 07:43:00 PM,Manhattan,04,03,009,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/23/2017 08:15:52 PM,Queens,50,08,107,MD Residential Structure,Other - No Fire,No Fire
2017,01/23/2017 10:47:26 PM,Manhattan,08,06,017,MD Residential Structure,Stove/Cooking - Electric,Cooking Carelessness
2017,01/23/2017 10:58:00 PM,Brooklyn,43,13,060,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/23/2017 11:51:28 PM,Staten Island,22,01,121,PD Residential Structure,Portable Heater,Heaters
2017,01/24/2017 04:47:59 AM,Brooklyn,37,03,081,MD Residential Structure,Electrical Wiring,Electrical
2017,01/24/2017 05:27:00 AM,Brooklyn,37,03,081,MD Residential Structure,Incendiary,Incendiary
2017,01/24/2017 06:43:07 AM,Bronx,14,01,040,MD Residential Structure,Incendiary,Incendiary
2017,01/24/2017 06:52:10 AM,Manhattan,01,03,005,MD Residential Structure,Incendiary,Incendiary
2017,01/24/2017 08:21:00 AM,Queens,54,13,105,PD Residential Structure,Preliminary Investigation Only,Other
2017,01/24/2017 09:29:00 AM,Queens,49,01,114,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/24/2017 10:05:39 AM,Brooklyn,33,11,062,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/24/2017 10:31:36 AM,Brooklyn,58,18,069,MD Residential Structure,Other - No Fire,No Fire
2017,01/24/2017 12:15:39 PM,Manhattan,04,03,007,MD Residential Structure,Stove/Cooking - Stove,Cooking Carelessness
2017,01/24/2017 01:16:00 PM,Manhattan,04,03,005,Vehicle,Preliminary Investigation Only,Other
2017,01/24/2017 01:40:00 PM,Queens,45,01,114,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/24/2017 02:17:25 PM,Queens,54,12,113,PD Residential Structure,Clothes Dryer - Natural Gas,Appliances
2017,01/24/2017 03:09:33 PM,Manhattan,10,08,019,MD Residential Structure,Electrical Wiring,Electrical
2017,01/24/2017 07:24:00 PM,Queens,49,01,114,PD Residential Structure,Preliminary Investigation Only,Other
2017,01/24/2017 07:55:41 PM,Brooklyn,41,09,071,MD Residential Structure,Electrical Wiring,Electrical
2017,01/24/2017 08:19:00 PM,Manhattan,16,09,030,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/24/2017 09:52:05 PM,Brooklyn,44,05,075,Commercial Structure,Motors - Compressors,Motors
2017,01/25/2017 12:27:46 AM,Bronx,17,04,044,MD Residential Structure,Incendiary,Incendiary
2017,01/25/2017 12:41:00 AM,Manhattan,02,02,001,MD Residential Structure,Electrical Wiring,Electrical
2017,01/25/2017 03:03:00 AM,Manhattan,04,03,007,Vehicle,Incendiary - Combustible Material,Incendiary
2017,01/25/2017 07:00:00 AM,Brooklyn,57,03,079,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/25/2017 07:47:00 AM,Queens,52,Out of NYC,109,PD Residential Structure,Permanent Heater - Gas,Heaters
2017,01/25/2017 08:57:00 AM,Manhattan,07,04,010,MFA,MFA,No Fire
2017,01/25/2017 09:17:00 AM,Queens,50,12,103,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/25/2017 10:16:15 AM,Queens,46,06,112,,Preliminary Investigation Only,Other
2017,01/25/2017 10:30:00 AM,Manhattan,09,04,018,MD Residential Structure,Incendiary - Torch - Illegal Use of,Incendiary
2017,01/25/2017 10:31:11 AM,Brooklyn,44,05,075,MD Residential Structure,Electrical Wiring,Electrical
2017,01/25/2017 11:57:00 AM,Manhattan,11,07,020,MD Residential Structure,Torch - Legal Use of,Open Flame
2017,01/25/2017 12:12:38 PM,Queens,51,10,106,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/25/2017 12:22:49 PM,Brooklyn,41,17,067,No Fire,Preliminary Investigation Only,Other
2017,01/25/2017 12:29:00 PM,Queens,52,07,109,MD Residential Structure,Incendiary,Incendiary
2017,01/25/2017 02:02:12 PM,Queens,52,07,109,Commercial Structure,Rangehood Fire - Ductwork,Cooking Carelessness
2017,01/25/2017 02:18:03 PM,Brooklyn,58,17,067,PD Residential Structure,Clothes Dryer - Natural Gas,Appliances
2017,01/25/2017 03:32:00 PM,Brooklyn,32,06,076,No Fire,Other - No Fire,No Fire
2017,01/25/2017 04:40:23 PM,Brooklyn,,05,075,PD Residential Structure,Electrical Wiring,Electrical
2017,01/25/2017 05:30:00 PM,Queens,50,12,103,Government Structure,Incendiary - Explosives,Incendiary
2017,01/25/2017 06:00:00 PM,Brooklyn,44,16,073,Other,Juvenile Firesetter Follow Up,Other
2017,01/25/2017 06:00:00 PM,Brooklyn,44,16,073,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/25/2017 06:19:05 PM,Staten Island,22,01,120,PD Residential Structure,Clothes Dryer,Appliances
2017,01/25/2017 08:11:00 PM,Manhattan,16,10,032,PD Residential Structure,Preliminary Investigation Only,Other
2017,01/25/2017 08:26:06 PM,Queens,45,02,108,MD Residential Structure,Other - Electrical,Electrical
2017,01/25/2017 08:56:09 PM,Bronx,03,02,041,,Preliminary Investigation Only,Other
2017,01/25/2017 09:41:00 PM,Queens,52,07,109,Commercial Structure,Hard Wire Outlet,Electrical
2017,01/25/2017 09:58:00 PM,Brooklyn,33,15,061,MD Residential Structure,Candle,Open Flame
2017,01/25/2017 11:16:00 PM,Brooklyn,44,16,073,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/26/2017 12:03:48 AM,Brooklyn,44,05,075,MD Residential Structure,Incendiary,Incendiary
2017,01/26/2017 04:39:02 AM,Bronx,17,05,046,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/26/2017 05:06:00 AM,Brooklyn,31,02,088,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/26/2017 05:31:15 AM,Queens,51,10,106,MD Residential Structure,Electrical Wiring,Electrical
2017,01/26/2017 08:00:00 AM,Brooklyn,38,09,071,Other,Juvenile Firesetter Intervention,Other
2017,01/26/2017 08:44:00 AM,Brooklyn,35,01,094,Commercial Structure,Permanent Heater - Gas,Heaters
2017,01/26/2017 10:50:27 AM,Bronx,14,01,040,School,Child Playing w/Matches/Lighter,Open Flame
2017,01/26/2017 10:56:00 AM,Bronx,15,11,049,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/26/2017 10:58:00 AM,Brooklyn,38,09,071,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2017,01/26/2017 02:09:38 PM,Staten Island,21,01,120,PD Residential Structure,Stove/Cooking - Fryer,Cooking Carelessness
2017,01/26/2017 02:41:00 PM,Queens,51,10,106,PD Residential Structure,Preliminary Investigation Only,Other
2017,01/26/2017 04:50:00 PM,Manhattan,02,02,001,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/26/2017 05:08:27 PM,Brooklyn,28,04,083,School,Incendiary,Incendiary
2017,01/26/2017 07:10:01 PM,Queens,54,12,113,MD Residential Structure,Extension Cord,Electrical
2017,01/26/2017 09:08:00 PM,Manhattan,13,12,033,Hospital,Other - No Fire,No Fire
2017,01/26/2017 09:33:00 PM,Manhattan,13,12,033,MD Residential Structure,Torch - Legal Use of,Open Flame
2017,01/27/2017 02:46:00 AM,Brooklyn,31,02,084,MD Residential Structure,Candle,Open Flame
2017,01/27/2017 07:08:00 AM,Brooklyn,31,02,088,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2017,01/27/2017 11:30:00 AM,Brooklyn,41,17,067,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/27/2017 12:00:00 PM,Manhattan,13,12,034,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/27/2017 12:13:00 PM,Bronx,14,04,044,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/27/2017 01:29:25 PM,Bronx,19,08,050,MD Residential Structure,Electrical Wiring,Electrical
2017,01/27/2017 01:57:00 PM,Bronx,17,04,044,MD Residential Structure,Incense,Hot Objects
2017,01/27/2017 04:00:00 PM,Brooklyn,,09,071,Other,Juvenile Firesetter Intervention,Other
2017,01/27/2017 05:12:19 PM,Brooklyn,45,01,094,MD Residential Structure,Incendiary,Incendiary
2017,01/27/2017 06:18:33 PM,Brooklyn,44,05,075,MD Residential Structure,Candle,Open Flame
2017,01/27/2017 07:43:56 PM,Brooklyn,44,05,075,Vehicle,Smoking (Cigarette/Cigar),Smoking
2017,01/27/2017 07:44:00 PM,Brooklyn,33,04,067,MFA,Other - No Fire,No Fire
2017,01/27/2017 08:06:00 PM,Manhattan,16,10,032,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/27/2017 09:51:00 PM,Manhattan,12,11,023,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/27/2017 10:58:08 PM,Brooklyn,33,15,061,Brush,Incendiary - Combustible Material,Incendiary
2017,01/28/2017 12:19:00 AM,Manhattan,04,03,007,MD Residential Structure,Incense,Hot Objects
2017,01/28/2017 01:23:00 AM,Staten Island,21,01,120,MD Residential Structure,Incendiary,Incendiary
2017,01/28/2017 02:48:08 AM,Queens,50,12,113,PD Residential Structure,Portable Heater - Electric,Heaters
2017,01/28/2017 04:49:25 AM,Bronx,14,01,040,MD Residential Structure,Stove  - Natural Gas,Appliances
2017,01/28/2017 04:54:47 AM,Brooklyn,33,18,063,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/28/2017 04:57:49 AM,Brooklyn,33,18,063,PD Residential Structure,Electrical Wiring,Electrical
2017,01/28/2017 07:51:00 AM,Manhattan,04,03,007,MD Residential Structure,Other - No Fire,No Fire
2017,01/28/2017 09:11:20 AM,Staten Island,21,01,120,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,01/28/2017 09:27:47 AM,Queens,39,09,102,PD Residential Structure,Power Strip,Electrical
2017,01/28/2017 11:29:00 AM,Bronx,27,07,052,MD Residential Structure,Preliminary Investigation Only,Other
2017,01/28/2017 12:04:37 PM,Queens,47,14,101,Commercial Structure,Extension Cord,Electrical
2017,01/28/2017 01:00:00 PM,Manhattan,02,02,005,MD Residential Structure,Preliminary Investigation Only,Other
